prompt_id,schema_id
brain.system.v9,error.v9.json
brain.planner.v9,action_proposal.v1.json
brain.critic.v9,error.v9.json
brain.reflector.v9,error.v9.json
brain.capability_extractor.v1,capability_extractor_output.v1.json
brain.provisioning_approval_message.v1,provisioning_approval_message.v1.json
brain.provisioning_status_message.v1,provisioning_status_message.v1.json
brain.provisioning_security_justification.v1,provisioning_security_justification.v1.json
brain.provisioning_rank_explainer.v1,provisioning_rank_explainer.v1.json
brain.discovery.profile_extractor.v1,morning_briefing.v1.json
brain.discovery.behavior_extractor.v1,morning_briefing.v1.json
brain.discovery.codebase_extractor.v1,code_context_export_request.v1.json
brain.discovery.systemmap_extractor.v1,code_context_export_request.v1.json
brain.daily_capture.v1,daily_capture_output.v1.json
brain.goal_review.v1,goal_item.v1.json
brain.trust_eval.v1,trust_score_report.v1.json
brain.lesson_extractor.v1,lesson_proposal.v1.json
brain.capability_explorer.v1,capability_recommendation.v1.json
brain.morning_briefing.v1,morning_briefing.v1.json
brain.discovery.followup_generator.v1,discovery_followup.v1.json
brain.code_context.assembler.v1,code_context_export_request.v1.json
brain.context_compiler.v1,context_budget_config.v1.json
brain.session_resolver.v1,session_context.v1.json
brain.temporal_resolver.v1,temporal_expression.v1.json
brain.error_communicator.v1,error_message.v1.json
brain.rag_query_rewriter.v1,rag_search_request.v1.json
brain.admin_report_synthesizer.v1,admin_kpi_report.v1.json
