line_id,blueprint_id,line_number,content
BP01:00001,BP01,1,BREVIO
BP01:00002,BP01,2,4 Consumer Delight Features
BP01:00003,BP01,3,Complete Production Blueprint — V3.0 FINAL
BP01:00004,BP01,4,2026-03-04  ·  Single Authoritative Document  ·  Agent-Executable
BP01:00005,BP01,5,Table of Contents
BP01:00006,BP01,6,A   Architecture & Data Flows
BP01:00007,BP01,7,B   Complete Component File  (brevio-live-demo.jsx — full implementation)
BP01:00008,BP01,8,"C   Supporting Files  (constants, utils — if you prefer split files)"
BP01:00009,BP01,9,D   API Contracts & Error Taxonomy
BP01:00010,BP01,10,E   LLM Contracts
BP01:00011,BP01,11,F   Observability
BP01:00012,BP01,12,G   Security
BP01:00013,BP01,13,H   Test Files  (vitest unit tests + Playwright E2E — runnable)
BP01:00014,BP01,14,"I   Config Files  (vite, vitest, playwright, eslint, tsconfig, package.json)"
BP01:00015,BP01,15,J   CI/CD Pipeline
BP01:00016,BP01,16,K   Failure & Recovery
BP01:00017,BP01,17,L   Runbooks
BP01:00018,BP01,18,"M   Deployment Assembly Order  (28 steps, machine-verifiable gates)"
BP01:00019,BP01,19,SECTION A  Architecture & Data Flows
BP01:00020,BP01,20,A.1  Scope — Formally Bounded
BP01:00021,BP01,21,A.2  Complete Data Flow — Standard Send
BP01:00022,BP01,22,A.3  Data Flow — Scenario Chip
BP01:00023,BP01,23,A.4  State Machine — Complete Component
BP01:00024,BP01,24,SECTION B  Complete Component File
BP01:00025,BP01,25,File: apps/web-demo/src/brevio-live-demo.jsx
BP01:00026,BP01,26,SECTION C  Supporting Config Files
BP01:00027,BP01,27,C.1  File: apps/web-demo/vite.config.ts
BP01:00028,BP01,28,C.2  File: apps/web-demo/tsconfig.json
BP01:00029,BP01,29,C.3  File: apps/web-demo/vitest.config.ts
BP01:00030,BP01,30,C.4  File: apps/web-demo/playwright.config.ts
BP01:00031,BP01,31,C.5  File: apps/web-demo/eslint.config.js
BP01:00032,BP01,32,C.6  File: apps/web-demo/package.json — scripts & devDeps
BP01:00033,BP01,33,SECTION H  Test Files — Runnable
BP01:00034,BP01,34,H.1  File: apps/web-demo/src/__tests__/utils.test.ts
