requirement_id,artifact,status
V9-001,db/migrations/001_BREVIO_v9_init.sql,implemented
V9-002,internal/database,implemented
V9-003,internal/identity,implemented
V9-004,internal/delegation,implemented
V9-005,internal/rbac,implemented
V9-006,internal/connectors,implemented
V9-007,internal/gateway,implemented
V9-008,internal/control,implemented
V9-009,internal/workflows,implemented
V9-010,internal/executor,implemented
V9-011,internal/memory,implemented
V9-012,internal/llm,implemented
V9-013,internal/provisioning,implemented
V9-014,internal/onboarding,implemented
V9-015,internal/canvas,implemented
V9-016,api/openapi/v9.yaml,implemented
V9-017,schemas/*.json,implemented
V9-018,policies/*.rego,implemented
V9-019,terraform/modules,implemented
V9-020,helm/BREVIO-*,implemented
